pjid,pgpath,cttp,os,rcmdtype,openid,loccid,k,time
"train,flight,hotel,hotel",/homepage/3,"54,64,191,16",2,"finderdefalut,finderdefalut,finderdefalut,global_hotel",o498X0Q-3gfVw4_LQKugJUJgil78,80,"火车票,特价机票,附近酒店,广州的酒店",2018-12-12 12:38:29
"train,flight,hotel,flight,flight,hotel",/homepage/0,"54,64,191,61,62,16",1,"finderdefalut,finderdefalut,finderdefalut,flight,flight,flight",o498X0Q-D4-G5qaM50roFMNed87U,146,"火车票,特价机票,附近酒店,石家庄到成都的机票,成都到石家庄的机票,成都的酒店",2018-12-13 23:29:37
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",1,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q-DiT3ym0RWJmBXjvCsvvQ,53,"火车票,特价机票,附近酒店,北京到定西的火车票,定西到北京的火车票,北京到定西的机票",2018-12-13 20:39:33
"train,flight,hotel,flight,flight,hotel",/homepage/23,"54,64,191,61,62,16",1,"finderdefalut,finderdefalut,finderdefalut,flight,flight,flight",o498X0Q-LKU2tqMazAlX86Jydnu0,256,"火车票,特价机票,附近酒店,沈阳到广州的机票,广州到沈阳的机票,广州的酒店",2018-12-11 16:04:15
"train,flight,hotel,train,train,hotel",/homepage/0,"54,64,191,51,52,16",1,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q-aB8bPiu9f9BtPTuNPKnQ,91,"火车票,特价机票,附近酒店,呼伦贝尔到阜新的火车票,阜新到呼伦贝尔的火车票,阜新的酒店",2018-12-13 21:11:53
"train,flight,hotel,flight,flight,hotel",/homepage/1,"54,64,192,61,62,16",1,"finderdefalut,finderdefalut,finderdefalut,flight,flight,flight",o498X0Q-jtpapSXzTzdZpk3lo9Uw,394,"火车票,特价机票,特价酒店,重庆到大连的机票,大连到重庆的机票,大连的酒店",2018-12-12 05:58:48
"train,flight,hotel,flight,flight,hotel",/homepage/0,"54,64,192,61,62,16",1,"finderdefalut,finderdefalut,finderdefalut,flight,flight,flight",o498X0Q-jtpapSXzTzdZpk3lo9Uw,394,"火车票,特价机票,特价酒店,重庆到大连的机票,大连到重庆的机票,大连的酒店",2018-12-12 05:58:15
"train,flight,hotel,flight,train,flight",/homepage/1,"54,64,191,61,51,62",1,"finderdefalut,finderdefalut,finderdefalut,flight,train,flight",o498X0Q-lbr8I6ilf6SDOMPBtLqM,110,"火车票,特价机票,附近酒店,南宁到济南的机票,梧州到泰安的火车票,济南到南宁的机票",2018-12-13 00:40:15
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",1,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q-lbr8I6ilf6SDOMPBtLqM,110,"火车票,特价机票,附近酒店,梧州到泰安的火车票,泰安到梧州的火车票,梧州到泰安的机票",2018-12-12 00:21:41
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",1,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q-lbr8I6ilf6SDOMPBtLqM,110,"火车票,特价机票,附近酒店,梧州到泰安的火车票,泰安到梧州的火车票,梧州到泰安的机票",2018-12-12 00:21:17
"train,flight,hotel,train,train,flight",/homepage/2,"54,64,191,51,52,61",1,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q-lbr8I6ilf6SDOMPBtLqM,110,"火车票,特价机票,附近酒店,梧州到泰安的火车票,泰安到梧州的火车票,梧州到泰安的机票",2018-12-11 20:28:31
"train,flight,hotel,hotel,hotel,flight",/homepage/3,"54,64,191,1,15,61",1,"finderdefalut,finderdefalut,finderdefalut,hotel,hotel,flight",o498X0Q-n-3HyZ0jvx-FHg1VaR4U,null,"火车票,特价机票,附近酒店,安龙顺昌旅社,黔西南的经济型酒店,西昌到成都的机票",2018-12-11 14:35:27
"train,flight,hotel,hotel,hotel,flight",/homepage/0,"54,64,191,1,1,61",2,"finderdefalut,finderdefalut,finderdefalut,hotel,hotel,flight",o498X0Q-vQvOp7v1XhUZ4mVwTC_Y,373,"火车票,特价机票,附近酒店,苏州格林豪泰快捷酒店昆山巴黎春天店,如家快捷酒店(昆山开发区青阳北路万达广场店),西安到上海的机票",2018-12-13 21:53:04
"train,flight,hotel,hotel,hotel,flight",/homepage/3,"54,64,191,1,1,61",2,"finderdefalut,finderdefalut,finderdefalut,hotel,hotel,flight",o498X0Q-vQvOp7v1XhUZ4mVwTC_Y,373,"火车票,特价机票,附近酒店,苏州格林豪泰快捷酒店昆山巴黎春天店,如家快捷酒店(昆山开发区青阳北路万达广场店),西安到上海的机票",2018-12-13 08:51:57
"train,flight,hotel,hotel,hotel,flight",/homepage/3,"54,64,191,1,1,61",2,"finderdefalut,finderdefalut,finderdefalut,hotel,hotel,flight",o498X0Q-vQvOp7v1XhUZ4mVwTC_Y,373,"火车票,特价机票,附近酒店,苏州格林豪泰快捷酒店昆山巴黎春天店,如家快捷酒店(昆山开发区青阳北路万达广场店),西安到上海的机票",2018-12-12 21:20:59
"train,flight,hotel,hotel,hotel,flight",/homepage/3,"54,64,191,1,1,61",2,"finderdefalut,finderdefalut,finderdefalut,hotel,hotel,flight",o498X0Q-vQvOp7v1XhUZ4mVwTC_Y,373,"火车票,特价机票,附近酒店,苏州格林豪泰快捷酒店昆山巴黎春天店,如家快捷酒店(昆山开发区青阳北路万达广场店),西安到上海的机票",2018-12-12 21:14:39
"train,flight,hotel,hotel,hotel,flight",/homepage/3,"54,64,191,1,1,61",2,"finderdefalut,finderdefalut,finderdefalut,hotel,hotel,flight",o498X0Q-vQvOp7v1XhUZ4mVwTC_Y,373,"火车票,特价机票,附近酒店,苏州格林豪泰快捷酒店昆山巴黎春天店,如家快捷酒店(昆山开发区青阳北路万达广场店),西安到上海的机票",2018-12-12 21:14:10
"train,flight,hotel,hotel,hotel,flight",/homepage/3,"54,64,191,1,1,61",2,"finderdefalut,finderdefalut,finderdefalut,hotel,hotel,flight",o498X0Q-vQvOp7v1XhUZ4mVwTC_Y,373,"火车票,特价机票,附近酒店,苏州格林豪泰快捷酒店昆山巴黎春天店,如家快捷酒店(昆山开发区青阳北路万达广场店),西安到上海的机票",2018-12-12 21:12:46
"train,flight,hotel,hotel,flight,traffic",/homepage/3,"54,64,191,1,61,140",2,"finderdefalut,finderdefalut,finderdefalut,hotel,flight,hotel",o498X0Q-vQvOp7v1XhUZ4mVwTC_Y,373,"火车票,特价机票,附近酒店,布丁酒店(昆山柏庐路店),西安到上海的机票,昆明到苏州的交通方案",2018-12-12 20:54:50
"train,flight,hotel,hotel,flight,traffic",/homepage/3,"54,64,191,1,61,140",2,"finderdefalut,finderdefalut,finderdefalut,hotel,flight,hotel",o498X0Q-vQvOp7v1XhUZ4mVwTC_Y,373,"火车票,特价机票,附近酒店,布丁酒店(昆山柏庐路店),西安到上海的机票,昆明到苏州的交通方案",2018-12-12 20:54:31
"train,flight,hotel,hotel,flight,flight",/homepage/3,"54,64,191,16,61,62",2,"finderdefalut,finderdefalut,finderdefalut,flight,flight,flight",o498X0Q-vQvOp7v1XhUZ4mVwTC_Y,373,"火车票,特价机票,附近酒店,上海的酒店,西安到上海的机票,上海到西安的机票",2018-12-12 20:51:28
"train,flight,hotel,hotel,flight,flight",/homepage/3,"54,64,191,16,61,62",2,"finderdefalut,finderdefalut,finderdefalut,flight,flight,flight",o498X0Q-vQvOp7v1XhUZ4mVwTC_Y,373,"火车票,特价机票,附近酒店,上海的酒店,西安到上海的机票,上海到西安的机票",2018-12-12 20:47:49
"train,flight,hotel,flight,hotel,scenery",/homepage/0,"54,64,191,62,16,82",2,"finderdefalut,finderdefalut,finderdefalut,flight,flight,flight",o498X0Q0AlptBMqtUxwHRXK-5ZSA,114,"火车票,特价机票,附近酒店,常州到贵阳的机票,常州的酒店,常州的热门景区",2018-12-13 17:26:09
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",1,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q0CVKeTSplbPJPXNCvmxlI,389,"火车票,特价机票,附近酒店,荆门到杭州的火车票,杭州到荆门的火车票,荆门到杭州的机票",2018-12-13 13:25:43
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",1,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q0CVKeTSplbPJPXNCvmxlI,185,"火车票,特价机票,附近酒店,荆门到杭州的火车票,杭州到荆门的火车票,荆门到杭州的机票",2018-12-13 09:31:27
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",1,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q0CVKeTSplbPJPXNCvmxlI,390,"火车票,特价机票,附近酒店,荆门到杭州的火车票,杭州到荆门的火车票,荆门到杭州的机票",2018-12-12 15:06:08
"train,flight,hotel,train,train,hotel",/homepage/0,"54,64,191,51,52,16",1,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q0CVKeTSplbPJPXNCvmxlI,390,"火车票,特价机票,附近酒店,荆门到武汉的火车票,武汉到荆门的火车票,武汉的酒店",2018-12-12 11:55:30
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",1,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q0ZYrkCHMhdrC8aUmLOoSM,61,"火车票,特价机票,附近酒店,厦门到绵阳的火车票,绵阳到厦门的火车票,厦门到绵阳的机票",2018-12-11 17:44:33
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",1,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q0ZYrkCHMhdrC8aUmLOoSM,61,"火车票,特价机票,附近酒店,厦门到绵阳的火车票,绵阳到厦门的火车票,厦门到绵阳的机票",2018-12-11 17:44:31
